kode_kabupaten,nama_kabupaten,koefisien_jarak,koefisien_lebar_jalan,dominasi
IDN.KB.001,Kabupaten_1,0.9989,0.5786,lebar_jalan
IDN.KB.002,Kabupaten_2,2.3817,2.091,jarak
IDN.KB.003,Kabupaten_3,1.8568,1.2859,jarak
IDN.KB.004,Kabupaten_4,1.5368,1.7714,seimbang
IDN.KB.005,Kabupaten_5,0.4744,2.7689,lebar_jalan
IDN.KB.006,Kabupaten_6,0.4744,1.1232,jarak
IDN.KB.007,Kabupaten_7,0.2394,1.526,jarak
IDN.KB.008,Kabupaten_8,2.1788,2.3889,lebar_jalan
IDN.KB.009,Kabupaten_9,1.5427,1.072,jarak
IDN.KB.010,Kabupaten_10,1.7994,0.6924,jarak
IDN.KB.011,Kabupaten_11,0.1494,1.2244,lebar_jalan
IDN.KB.012,Kabupaten_12,2.4278,0.9031,lebar_jalan
IDN.KB.013,Kabupaten_13,2.0979,2.8242,lebar_jalan
IDN.KB.014,Kabupaten_14,0.6096,2.5203,jarak
IDN.KB.015,Kabupaten_15,0.5364,2.0835,lebar_jalan
IDN.KB.016,Kabupaten_16,0.5402,2.6787,jarak
IDN.KB.017,Kabupaten_17,0.8302,2.5092,jarak
IDN.KB.018,Kabupaten_18,1.3594,0.9664,lebar_jalan
IDN.KB.019,Kabupaten_19,1.1367,2.7314,lebar_jalan
IDN.KB.020,Kabupaten_20,0.7989,1.8484,seimbang
IDN.KB.021,Kabupaten_21,1.5684,2.5186,lebar_jalan
IDN.KB.022,Kabupaten_22,0.4348,2.7402,lebar_jalan
IDN.KB.023,Kabupaten_23,0.8011,1.295,jarak
IDN.KB.024,Kabupaten_24,0.9793,0.7751,jarak
IDN.KB.025,Kabupaten_25,1.1946,1.0698,jarak
IDN.KB.026,Kabupaten_26,1.9844,1.5678,jarak
IDN.KB.027,Kabupaten_27,0.5792,2.545,seimbang
IDN.KB.028,Kabupaten_28,1.3342,2.6518,jarak
IDN.KB.029,Kabupaten_29,1.5218,0.5174,seimbang
IDN.KB.030,Kabupaten_30,0.2115,1.7769,lebar_jalan
IDN.KB.031,Kabupaten_31,1.5581,1.5435,lebar_jalan
IDN.KB.032,Kabupaten_32,0.5093,1.0553,lebar_jalan
IDN.KB.033,Kabupaten_33,0.2561,0.7997,lebar_jalan
IDN.KB.034,Kabupaten_34,2.3773,1.344,lebar_jalan
IDN.KB.035,Kabupaten_35,2.4175,2.8573,jarak
IDN.KB.036,Kabupaten_36,2.0402,1.308,lebar_jalan
IDN.KB.037,Kabupaten_37,0.8311,1.797,jarak
IDN.KB.038,Kabupaten_38,0.3344,2.2575,jarak
IDN.KB.039,Kabupaten_39,1.7422,1.4091,lebar_jalan
IDN.KB.040,Kabupaten_40,1.1564,2.9295,jarak
IDN.KB.041,Kabupaten_41,0.3929,2.9061,seimbang
IDN.KB.042,Kabupaten_42,1.2884,1.1295,seimbang
IDN.KB.043,Kabupaten_43,0.1825,1.7431,seimbang
IDN.KB.044,Kabupaten_44,2.2824,1.2522,jarak
IDN.KB.045,Kabupaten_45,0.7211,1.2121,jarak
IDN.KB.046,Kabupaten_46,1.6901,0.5922,seimbang
IDN.KB.047,Kabupaten_47,0.8481,2.0239,lebar_jalan
IDN.KB.048,Kabupaten_48,1.3482,1.7567,seimbang
IDN.KB.049,Kabupaten_49,1.4121,0.6287,seimbang
IDN.KB.050,Kabupaten_50,0.5437,1.1966,seimbang
IDN.KB.051,Kabupaten_51,2.427,2.7707,jarak
IDN.KB.052,Kabupaten_52,1.9603,1.0989,jarak
IDN.KB.053,Kabupaten_53,2.3548,0.8622,seimbang
IDN.KB.054,Kabupaten_54,2.2476,1.7236,jarak
IDN.KB.055,Kabupaten_55,1.535,2.9641,jarak
IDN.KB.056,Kabupaten_56,2.3125,1.1051,lebar_jalan
IDN.KB.057,Kabupaten_57,0.3124,2.1803,seimbang
IDN.KB.058,Kabupaten_58,0.5704,2.404,lebar_jalan
IDN.KB.059,Kabupaten_59,0.2085,1.0941,lebar_jalan
IDN.KB.060,Kabupaten_60,0.8808,2.3205,jarak
IDN.KB.061,Kabupaten_61,1.0328,1.4195,lebar_jalan
IDN.KB.062,Kabupaten_62,0.7512,2.0808,seimbang
IDN.KB.063,Kabupaten_63,2.089,2.0838,jarak
IDN.KB.064,Kabupaten_64,0.9562,1.8394,lebar_jalan
IDN.KB.065,Kabupaten_65,0.7742,0.7257,seimbang
IDN.KB.066,Kabupaten_66,1.4025,2.5883,lebar_jalan
IDN.KB.067,Kabupaten_67,0.4382,1.302,lebar_jalan
IDN.KB.068,Kabupaten_68,2.0253,0.9663,lebar_jalan
IDN.KB.069,Kabupaten_69,0.2789,0.6019,jarak
IDN.KB.070,Kabupaten_70,2.4685,1.9772,jarak
IDN.KB.071,Kabupaten_71,1.9534,2.1939,seimbang
IDN.KB.072,Kabupaten_72,0.5769,0.5415,seimbang
IDN.KB.073,Kabupaten_73,0.1133,1.7802,seimbang
IDN.KB.074,Kabupaten_74,2.0571,1.0662,seimbang
IDN.KB.075,Kabupaten_75,1.7965,2.1129,lebar_jalan
IDN.KB.076,Kabupaten_76,1.8496,0.9359,lebar_jalan
IDN.KB.077,Kabupaten_77,1.951,2.2273,lebar_jalan
IDN.KB.078,Kabupaten_78,0.2777,1.4668,lebar_jalan
IDN.KB.079,Kabupaten_79,0.9603,2.8418,lebar_jalan
IDN.KB.080,Kabupaten_80,0.3781,0.8438,lebar_jalan
IDN.KB.081,Kabupaten_81,2.1714,1.3527,seimbang
IDN.KB.082,Kabupaten_82,1.5959,0.7837,jarak
IDN.KB.083,Kabupaten_83,0.8942,2.8117,jarak
IDN.KB.084,Kabupaten_84,0.2525,2.6933,jarak
IDN.KB.085,Kabupaten_85,0.8464,1.1449,lebar_jalan
IDN.KB.086,Kabupaten_86,0.8804,2.15,jarak
IDN.KB.087,Kabupaten_87,1.8511,2.5431,lebar_jalan
IDN.KB.088,Kabupaten_88,1.6301,1.888,lebar_jalan
IDN.KB.089,Kabupaten_89,2.2293,1.8241,jarak
IDN.KB.090,Kabupaten_90,1.2333,1.1046,lebar_jalan
IDN.KB.091,Kabupaten_91,0.387,0.7328,jarak
IDN.KB.092,Kabupaten_92,1.8118,2.743,jarak
IDN.KB.093,Kabupaten_93,1.9259,2.751,seimbang
IDN.KB.094,Kabupaten_94,1.4471,2.0828,jarak
IDN.KB.095,Kabupaten_95,1.9503,1.3476,jarak
IDN.KB.096,Kabupaten_96,1.2851,1.373,lebar_jalan
IDN.KB.097,Kabupaten_97,1.3546,2.3149,lebar_jalan
IDN.KB.098,Kabupaten_98,1.1261,2.7428,jarak
IDN.KB.099,Kabupaten_99,0.161,2.7177,lebar_jalan
IDN.KB.100,Kabupaten_100,0.3589,2.4497,jarak
